Departamento,2020,2021,2022,2023,Total,Graves
Piura,125,4072,12150,79304,95651,11443
Lambayeque,568,843,2386,31460,35257,4423
Ica,7144,4208,5084,16889,33325,2178
Lima,350,1190,938,30735,33213,2715
Loreto,7800,5115,8926,6582,28423,4609
La libertad,390,262,162,26502,27316,2866
Ucayali,9781,3140,4842,8174,25937,3471
San martin,4955,4532,4270,6890,20647,3568
Tumbes,3093,1455,723,12890,18161,1707
Junin,3738,5090,4157,3580,16565,2003
Cajamarca,266,4015,3639,7451,15371,2315
Ancash,0,28,2145,11658,13831,1340
Cusco,2499,1982,3687,2630,10798,356
Amazonas,873,2369,3575,3271,10088,868
Madre de dios,3233,1333,3641,1853,10060,2633
Huanuco,1133,2811,1580,2298,7822,859
Ayacucho,1583,1663,782,695,4723,216
Pasco,377,616,496,1156,2645,275
Callao,4,9,8,2356,2377,240
Puno,20,51,25,267,363,2
Arequipa,0,7,0,0,7,1
